Listing Title,Number of Reviews,Listing ID,Policy Number,Place Type,Nightly Rate
Private room in Mission District,198,23672181,STR-0002892,Private Room,109
Guesthouse in San Francisco,79,49591060,STR-0000253,Entire Room,110
Private room in Mission District,161,31057117,STR-0004544,Private Room,114
Guest suite in Mission District,6,755957132088408739,STR-0000315,Entire Room,125
Private room in Mission District,520,16204265,1081184ï»¿,Private Room,127
Private room in Mission District,253,11225011,STR-0001085,Private Room,143
Home in Mission District,67,49043049,Pending,Entire Room,147
Guest suite in Mission District,220,1550913,STR-0000051,Entire Room,152
Home in Mission District,277,11442567,STR-0005421,Entire Room,164
Guest suite in San Francisco,713,6092596,STR-0000337,Entire Room,164
Guest suite in Mission District,510,4614763,STR-0004333,Entire Room,165
Guest suite in Mission District,324,467507,STR-0005349,Entire Room,165
Apartment in Noe Valley,0,824047084487341932,2022-008652STR,Entire Room,176
Loft in Mission District,422,1944564,2022-004088STR,Entire Room,181
Private room in Mission District,157,28803800,STR-0003345,Private Room,189
Guesthouse in Castro,189,47705504,STR-0005177,Entire Room,199
Apartment in Mission District,271,6107359,STR-0003345,Entire Room,284
Guest suite in Mission District,70,50010586,STR-0004717,Private Room,310
